ID	PREMISE	HYPOTHESIS	PREMISE TRANSLATED	HYPOTHESIS TRANSLATED	LABEL 
BAI12	La madre del famoso tenía la solución.	La madre del famoso tenía la solución.	The celebrity's mother had the solution.	The celebrity's mother had the solution.	CT+
BAI13	El director español desconocía el historial del actor.	El director español desconocía el historial del actor.	The Spanish director didn't know the actor's history.	The Spanish director didn't know the actor's history.	CT+
BAI14	El actor español olvidó el guión.	El actor español olvidó el guión.	The Spanish actor forgot the script.	The Spanish actor forgot the script.	CT+
BAI16	El alcalde de Madrid tenía las llaves de la ciudad.	El alcalde de Madrid tenía las llaves de la ciudad.	Madrid's mayor had the keys to the city.	Madrid's mayor had the keys to the city.	CT+
BAI20	Sergio Ramos conocía todas las condiciones del contrato.	Sergio Ramos conocía todas las condiciones del contrato.	Sergio Ramos knew all the terms of the contract.	Sergio Ramos knew all the terms of the contract.	CT+
BAI22	Alejandro Amenábar desconocía el historial del actor.	Alejandro Amenábar desconocía el historial del actor.	Alejandro Amenábar didn't know the actor's history.	Alejandro Amenábar didn't know the actor's history.	CT+
BAI23	Antonio Banderas olvidó el guión.	Antonio Banderas olvidó el guión.	Antonio Banderas forgot the script.	Antonio Banderas forgot the script.	CT+
BAI24	La mujer de Xabi Alonso sospechaba de su marido.	La mujer de Xabi Alonso sospechaba de su marido.	Xabi Alonso's wive suspected her husband.	Xabi Alonso's wive suspected her husband.	CT+
BAI25	José Luis Martínez-Almeida tenía las llaves de la ciudad.	José Luis Martínez-Almeida tenía las llaves de la ciudad.	José Luis Martínez-Almeida had the keys to the city.	José Luis Martínez-Almeida had the keys to the city.	CT+
BNC1	El gobierno dijo que el país tenía problemas económicos.	El país tenía problemas económicos.	The government said that the country had economic problems.	The country had economic problems.	CT+
BNC2	El comité de expertos creía que la tendencia había cambiado.	La tendencia había cambiado.	The committee of experts believed that the tendency had changed.	The tendency had changed.	PS+
BNC3	El periódico sabía que la noticia era falsa.	La noticia era falsa.	The newspaper knew that the news was fake.	The news was fake.	CT+
BNC5	La familia anunció que había recortado gastos.	La familia había recortado gastos.	The family announced that they had cut down expenses.	The family had cut down expenses.	CT+
BNC6	La universidad anunció que las clases iban a ser presenciales.	Las clases iban a ser presenciales.	The university announced that the classes were going to be onsite.	The classes were going to be onsite.	CT+
BNC7	El sindicato sospechaba que el gobierno no iba a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.	The union suspected that the government wasn't going to fulfill the agreement.	The government wasn't going to fulfill the agreement.	Uu
BNC9	El canal de televisión anunció que la periodista iba a ser despedida.	La periodista iba a ser despedida.	The channel announced that the journalist was going to be fired.	The journalist was going to be fired.	PR+
BNC11	El comité de expertos del gobierno creía que la tendencia había cambiado.	La tendencia había cambiado.	The government's committee of experts believed that the tendency had changed.	The tendency had changed.	PR+
BNC12	El periódico nacional sabía que la noticia era falsa.	La noticia era falsa.	The national newspaper knew that the news was fake.	The news was fake.	CT+
BNC20	El comité de expertos del gobierno español creía que la tendencia había cambiado.	La tendencia había cambiado.	The Spanish government's committee of experts believed that the tendency had changed.	The tendency had changed.	Uu
BNC21	La Razón sabía que la noticia era falsa.	La noticia era falsa.	La Razón knew that the news was fake.	The news was fake.	CT+
BNC22	La junta directiva del Barça pensó que la reunión con los abogados había ido bien.	La reunión con los abogados había ido bien.	Barça's board of directors thought that the meeting with the lawyers had gone well.	The meeting with the lawyers had gone well.	PS+
BNC24	La UCM anunció que las clases iban a ser presenciales.	Las clases iban a ser presenciales.	UCM announced that the classes were going to be onsite.	The classes were going to be onsite.	CT+
BNI1	El hijo oyó que le estaban llamando.	Estaban llamando al hijo.	The son heard that they were calling him.	They were calling him.	CT+
BNI2	El presidente dijo que el país tenía problemas económicos.	El país tenía problemas económicos.	The president said that the country had economic problems.	The country had economic problems.	Uu
BNI4	La periodista sabía que la noticia era falsa.	La noticia era falsa.	The journalist knew that the news was fake.	The news was fake.	CT+
BNI5	El jugador anunció que iba a cambiar de equipo.	El jugador iba a cambiar de equipo.	The player announced that s/he was going to change teams.	S/he was going to change teams.	PR+
BNI6	El entrenador sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.	The coach suspected that the opposite team had bought the referee.	The opposite team had bought the referee.	Uu
BNI7	La escritora intuía que su nueva novela iba a tener éxito.	La nueva novela de la escritora iba a tener éxito.	The writer sensed that her/his new novel was going to be successful.	The new novel was going to be successful. 	PR+
BNI11	El presidente de España dijo que el país tenía problemas económicos.	El país tenía problemas económicos.	The Spanish president said that the country had economic problems.	The country had economic problems.	CT+
BNI12	El experto en epidemias creía que la tendencia había cambiado.	La tendencia había cambiado.	The epidemiologist believed that the tendency had changed.	The tendency had changed.	PS-
BNI13	La periodista de LaSexta sabía que la noticia era falsa.	La noticia era falsa.	The journalist from LaSexta knew that the news was fake.	The news was fake.	CT+
BNI15	El entrenador de fútbol sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.	The football coach suspected that the opposite team had bought the referee.	The opposite team had bought the referee.	PR+
BNI16	La autora de literatura juvenil intuía que su nueva novela iba a tener éxito.	La nueva novela de la autora de literatura juvenil iba a tener éxito.	The author of youth literature sensed that her/his new novel was going to be successful.	The new novel was going to be successful.	PS+ 
BNI17	El general británico creyó que los ataques habían cesado.	Los ataques habían cesado.	The British general believed that the attacks had stopped.	The attacks had stopped.	PS-
BNI19	El hijo de Nicole Kidman oyó que le estaban llamando.	Estaban llamando al hijo de Nicole Kidman.	Nicole Kidman's son heard that they were calling him.	The son heard that they were calling him.	PS+
BNI22	Ana Pastor sabía que la noticia era falsa.	La noticia era falsa.	Ana Pastor knew that the news was fake.	The news was fake.	CT+
BNI23	Sergio Ramos anunció que iba a cambiar de equipo.	Sergio Ramos iba a cambiar de equipo.	Sergio Ramos announced that he was going to change teams.	He was going to change teams.	PR+
BNI24	Julian Lopetegui sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.	Julian Lopetegui suspected that the opposite team had bought the referee.	The opposite team had bought the referee.	Uu
BNI26	Bernard Montgomery creyó que los ataques habían cesado.	Los ataques habían cesado.	Bernard Montgomery believed that the attacks had stopped.	The attacks had stopped.	Uu
BNI27	Maykel Osorbo sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.	Maykel Osorbo knew that the song was going to be a complete success.	The song was going to be a complete success.	PR+
IAC5	Tal vez la empresa despidió a buena parte de sus trabajadores.	La empresa despidió a buena parte de sus trabajadores.	Perhaps the company fired a good amount of the workers.	The company fired a good amount of the workers.	PS+
IAC6	Seguramente la policía desalojó la zona.	La policía desalojó la zona.	Surely the police vacated the area.	The police vacated the area.	PR+
IAC7	Posiblemente la academia presentó a sus nuevos miembros.	La academia presentó a sus nuevos miembros.	Possibly the academy presented its new members.	The academy presented its new members.	PS+
IAC8	Probablemente el partido prohibió poner la bandera nacional en sus actos.	El partido prohibió poner la bandera nacional en sus actos.	Probably the party prohibited the display of the national flag in its events.	The party prohibited the display of the national flag in its events.	PR+
IAC9	Probablemente el instituto arrestó a los criminales.	El instituto arrestó a los criminales.	Probably the institute arrested the criminals.	The institute arrested the criminals.	PR+
IAC15	Seguramente la policía local desalojó la zona.	La policía local desalojó la zona.	Surely the local police vacated the area.	The local police vacated the area.	PR+
IAC17	Probablemente el partido nacionalista prohibió poner la bandera nacional en sus actos.	El partido nacionalista prohibió poner la bandera nacional en sus actos.	Probably the nationalist party prohibited the display of the national flag in its events.	The nationalist party prohibited the display of the national flag in its events.	PR+
IAC18	Probablemente el instituto armado arrestó a los criminales.	El instituto armado arrestó a los criminales.	Probably the armed institute arrested the criminals.	The armed institute arrested the criminals.	PR+
IAC22	Quizás la UCM denunció los hechos.	La UCM denunció los hechos.	Maybe UCM reported the events.	UCM reported the events.	Uu
IAC24	Seguramente la policía local de Madrid desalojó la zona.	La policía local de Madrid desalojó la zona.	Surely the local police from Madrid vacated the area.	The police from Madrid vacated the area.	CT+
IAC27	Probablemente la Guardia Civil arrestó a los criminales.	La Guardia Civil arrestó a los criminales.	Probably Guardia Civil arrested the criminals.	Guardia Civil arrested the criminals.	PR+
IAC1	Quizás el sindicato tenía otra idea.	El sindicato tenía otra idea.	Maybe the union had another/a different idea.	The union had another/a different idea.	PS+
IAC3	Seguramente la junta directiva cumplió lo acordado.	La junta directiva cumplió lo acordado.	Surely the board of directors fulfilled what was agreed.	The board of directors fulfilled what was agreed.	PR+
IAC19	Quizás Comisiones Obreras tenía otra idea.	Comisiones Obreras tenía otra idea.	Maybe Comisiones Obreras had another/a different idea.	Comisiones Obreras  had another/a different idea.	PS+
IAC21	Seguramente la junta directiva del Real Madrid cumplió lo acordado.	La junta directiva del Real Madrid cumplió lo acordado.	Surely Real Madrid's board of directors fulfilled what was agreed.	Real Madrid's board of directors fulfilled what was agreed.	PRÇ
IAI13	Quizás el director español desconocía el historial del actor.	El director español desconocía el historial del actor.	Maybe the Spanish director didn't know the actor's history.	The Spanish director didn't know the actor's history.	Uu
IAI1	Quizás el presidente dijo la verdad.	El presidente dijo la verdad.	Maybe the president told the truth.	The president told the truth.	Uu
IAI2	Tal vez el futbolista conocía todas las condiciones del contrato.	El futbolista conocía todas las condiciones del contrato.	Perhaps the football player knew all the terms of the contract.	The football player knew all the terms of the contract.	Uu
IAI6	Probablemente la mujer sospechaba de su marido.	La mujer sospechaba de su marido.	Probably the woman/wive suspected her husband.	The woman/wive suspected her husband.	PR+
IAI7	Seguramente el alcalde tenía las llaves de la ciudad.	El alcalde tenía las llaves de la ciudad.	Surely the mayor had the keys to the city.	The mayor had the keys to the city.	PR+
IAI11	Tal vez el futbolista del PSG conocía todas las condiciones del contrato.	El futbolista del PSG conocía todas las condiciones del contrato.	Perhaps the PSSG player knew all the terms of the contract.	The PSG player knew all the terms of the contract.	PS+
IAI14	Tal vez el actor español olvidó el guión.	El actor español olvidó el guión.	Perhaps the Spanish actor forgot the script.	The Spanish actor forgot the script.	PR+
IAI15	Probablemente la mujer del futbolista sospechaba de su marido.	La mujer del futbolista sospechaba de su marido.	Probably the football player's wive suspected her husband.	The football player's suspected her husband.	PR+
IAI20	Tal vez Sergio Ramos conocía todas las condiciones del contrato.	Sergio Ramos conocía todas las condiciones del contrato.	Perhaps Sergio Ramos knew all the terms of the contract.	Sergio Ramos knew all the terms of the contract.	PS+
IAI21	Probablemente la madre de Ronaldinho tenía la solución.	La madre de Ronaldinho tenía la solución.	Probably Ronaldinho's mother had the solution.	Ronaldinho's mother had the solution.	PR+
IAI23	Tal vez Antonio Banderas olvidó el guión.	Antonio Banderas olvidó el guión.	Perhaps Antonio Banderas forgot the script.	Antonio Banderas forgot the script.	PS+
IAI24	Probablemente la mujer de Xabi Alonso sospechaba de su marido.	La mujer de Xabi Alonso sospechaba de su marido.	Probably Xabi Alonso's wive suspected her husband.	Xabi Alonso's wive suspected her husband.	PR+
INC1	El gobierno no dijo que el país tenía problemas económicos.	El país tenía problemas económicos.	The government didn't say that the country had economic problems.	The country had economic problems.	CT+
INC5	La familia no anunció que habían recortado gastos.	La familia había recortado gastos.	The family announced that they had cut down expenses.	The family had cut down expenses.	CT+
INC7	El sindicato no sospechaba que el gobierno no iba a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.	The union didn't that the government wasn't going to fulfill the agreement.	The government wasn't going to fulfill the agreement.	CT+
INC8	El ministerio no comunicó que iba a implementar nuevas medidas.	El ministerio iba a implementar nuevas medidas.	The Ministery didn't communicate that it was going to implement new meassures.	The Ministery was going to implement new meassures.	PR-
INC9	El canal de televisión no anunció que la periodista iba a ser despedida.	La periodista iba a ser despedida.	The channel didn't announce that the journalist was going to be fired.	The journalist was going to be fired.	CT+
INC15	La universidad madrileña no anunció que las clases iban a ser presenciales.	Las clases iban a ser presenciales.	The university from Madrid didn't announce that the classes were going to be onsite.	The classes were going to be onsite.	CT+
INC16	El sindicato de la empresa no sospechaba que el gobierno no iba a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.	The company's union didn't suspecte that the government wasn't going to fulfill the agreement.	The government wasn't going to fulfill the agreement.	PR+
INC17	El Ministerio de Sanidad no comunicó que iba a implementar nuevas medidas.	El Ministerio de Sanidad iba a implementar nuevas medidas.	The Health Ministery didn't communicate that it was going to implement new meassures.	The Health Ministery was going to implement new meassures.	Uu
INC18	La televisión pública no anunció que la periodista iba a ser despedida.	La periodista iba a ser despedida.	The public television didn't announce that the journalist was going to be fired.	The journalist was going to be fired.	PR+
INC21	La Razón no sabía que la noticia era falsa.	La noticia era falsa.	La Razón didn't know that the news was fake.	The news was fake.	CT+
INC23	La familia real española no anunció que había recortado gastos.	La familia real española había recortado gastos.	The Spanish Royal family didn't announce that they had cut down expenses.	The Spanish Royal family had cut down expenses.	Uu
INC24	La UCM no anunció que las clases iban a ser presenciales.	Las clases iban a ser presenciales.	UCM didn't announce that the classes were going to be onsite.	The classes were going to be onsite.	CT+
INC25	Comisiones Obreras no sospechaba que el gobierno no iba a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.	Comisiones Obreras didn't suspect that the government wasn't going to fulfill the agreement.	The government wasn't going to fulfill the agreement.	CT+
INC27	RTVE no anunció que la periodista iba a ser despedida.	La periodista iba a ser despedida.	RTVE didn't announce that the journalist was going to be fired.	The journalist was going to be fired.	Uu
INI1	El hijo no oyó que le estaban llamando.	Estaban llamando al hijo.	The son didn't hear that they were calling him.	They were calling him.	CT+
INI2	El presidente no dijo que el país tenía problemas económicos.	El país tenía problemas económicos.	The president didn't say that the country had economic problems.	The country had economic problems.	CT+
INI3	El experto no creía que la tendencia había cambiado.	La tendencia había cambiado.	The expert didn't believe that the tendency had changed.	The tendency had changed.	Uu
INI4	La periodista no sabía que la noticia era falsa.	La noticia era falsa.	The journalist didn't know that the news was fake.	The news was fake.	CT+
INI5	El jugador no anunció que iba a cambiar de equipo.	El jugador iba a cambiar de equipo.	The player didn't announce that s/he was going to change teams.	S/he was going to change teams.	CT+
INI6	El entrenador no sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.	The coach didn't suspect that the opposite team had bought the referee.	The opposite team had bought the referee.	PS+
INI7	La escritora no intuía que su nueva novela iba a tener éxito.	La nueva novela de la escritora iba a tener éxito.	The writer didn't sense that her/his new novel was going to be successful.	The new novel was going to be successful.	CT+
INI8	El general no creyó que los ataques habían cesado.	Los ataques habían cesado.	The general didn't believe that the attacks had stopped.	The attacks had stopped.	PS+
INI10	El hijo de la actriz no oyó que le estaban llamando.	Estaban llamando al hijo de la actriz.	The actress' son didn't hear that they were calling him.	The actress' son heard that they were calling him.	CT+
INI11	El presidente de España no dijo que el país tenía problemas económicos.	El país tenía problemas económicos.	The Spanish president didn't say that the country had economic problems.	The country had economic problems.	CT+
INI13	La periodista de LaSexta no sabía que la noticia era falsa.	La noticia era falsa.	The journalist from LaSexta didn't know that the news was fake.	The news was fake.	CT+
INI14	El jugador de fútbol no anunció que iba a cambiar de equipo.	El jugador de fútbol iba a cambiar de equipo.	The football player didn't announce that s/he was going to change teams.	S/he was going to change teams.	CT+
INI15	El entrenador de fútbol no sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbrito.	The football coach didn't suspect that the opposite team had bought the referee.	The opposite team had bought the referee.	CT+
INI18	El cantante cubano no sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.	The Cuban singer didn't know that the song was going to be a complete success.	The song was going to be a complete success.	PS+
INI23	Sergio Ramos no anunció que iba a cambiar de equipo.	Sergio Ramos iba a cambiar de equipo.	Sergio Ramos didn't announce that he was going to change teams.	He was going to change teams.	CT+
INI26	Bernard Montgomery no creyó que los ataques habían cesado.	Los ataques habían cesado.	Bernard Montgomery didn't believe that the attacks had stopped.	The attacks had stopped.	PS+
INI27	Maykel Osorbo no sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.	Maykel Osorbo didn't know that the song was going to be a complete success.	The song was going to be a complete success.	CT+
SAC1	Quizás el sindicato tuviera otra idea.	El sindicato tenía otra idea.	Maybe the union had another/a different idea.	The union had another/a different idea.	Uu
SAC3	Seguramente la junta directiva cumpliera lo acordado.	La junta directiva cumplió lo acordado.	Surely the board of directors fulfilled what was agreed.	The board of directors fulfilled what was agreed.	PR+
SAC4	Quizás la universidad denunciara los hechos.	La universidad denunció los hechos.	Maybe the university reported the events.	The university reported the events.	Uu
SAC5	Tal vez la empresa despidiera a buena parte de sus trabajadores.	La empresa despidió a buena parte de sus trabajadores.	Perhaps the company fired a good amount of the workers.	The company fired a good amount of the workers.	Uu
SAC6	Seguramente la policía desalojara la zona.	La policía desalojó la zona.	Surely the police vacated the area.	The police vacated the area.	PR+
SAC8	Probablemente el partido prohibiera poner la bandera nacional en sus actos.	El partido prohibió poner la bandera nacional en sus actos.	Probably the party prohibited the display of the national flag in its events.	The party prohibited the display of the national flag in its events.	PR+
SAC9	Probablemente el instituto arrestara a los criminales.	El instituto arrestó a los criminales.	Probably the institute arrested the criminals.	The institute arrested the criminals.	PS+
SAC10	Quizás el sindicato de la empresa tuviera otra idea.	El sindicato de la empresa tenía otra idea.	Maybe the company's union had another/a different idea.	The company's union had another/a different idea.	Uu
SAC11	Tal vez el gobierno nacional conociera la corrupción existente.	El gobierno nacional conocía la corrupción existente.	Perhaps the national government was aware of the existing corruption.	The national government was aware of the existing corruption.	Uu
SAC13	Quizás la universidad madrileña denunciara los hechos.	La universidad madrileña denunció los hechos.	Maybe the university from Madrid reported the events.	The university from Madrid reported the events.	Uu
SAC14	Tal vez la empresa americana despidiera a buena parte de sus trabajadores.	La empresa americana despidió a buena parte de sus trabajadores.	Perhaps the American company fired a good amount of the workers.	The American company fired a good amount of the workers.	Uu
SAC16	Posiblemente la academia de la lengua presentara a sus nuevos miembros.	La academia de la lengua presentó a sus nuevos miembros.	Possibly the language academy presented its new members.	The language academy presented its new members.	PS+
SAC17	Probablemente el partido nacionalista prohibiera poner la bandera nacional en sus actos.	El partido nacionalista prohibió poner la bandera nacional en sus actos.	Probably the nationalist party prohibited the display of the national flag in its events.	The nationalist party prohibited the display of the national flag in its events.	PR+
SAC18	Probablemente el instituto armado arrestara a los criminales.	El instituto armado arrestó a los criminales.	Probably the armed institute arrested the criminals.	The armed institute arrested the criminals.	PR+
SAC20	Tal vez el gobierno español conociera la corrupción existente.	El gobierno español conocía la corrupción existente.	Perhaps the Spanish government was aware of the existing corruption.	The Spanish government was aware of the existing corruption.	PS+
SAC22	Quizás la UCM denunciara los hechos.	La UCM denunció los hechos.	Maybe UCM reported the events.	UCM reported the events.	Uu
SAC24	Seguramente la policía local de Madrid desalojara la zona.	La policía local de Madrid desalojó la zona.	Surely the local police from Madrid vacated the area.	The police from Madrid vacated the area.	PR+
SAC27	Probablemente la Guardia Civil arrestara a los criminales.	La Guardia Civil arrestó a los criminales.	Probably Guardia Civil arrested the criminals.	Guardia Civil arrested the criminals.	PR+
SAI1	Quizás el presidente dijera la verdad.	El presidente dijo la verdad.	Maybe the president told the truth.	The president told the truth.	Uu
SAI3	Probablemente la madre tuviera la solución.	La madre tenía la solución.	Probably the mother had the solution.	The mother had the solution.	PR+
SAI4	Quizás el director desconociera el historial del actor.	El director desconocía el historial del actor.	Maybe the director didn't know the actor's history.	The director didn't know the actor's history.	Uu
SAI6	Probablemente la mujer sospechara de su marido.	La mujer sospechaba de su marido.	Probably the woman/wive suspected her husband.	The woman/wive suspected her husband.	PR+
SAI7	Seguramente el alcalde tuviera las llaves de la ciudad.	El alcalde tenía las llaves de la ciudad.	Surely the mayor had the keys to the city.	The mayor had the keys to the city.	PR+
SAI10	Quizás el presidente del gobierno dijera la verdad.	El presidente del gobierno dijo la verdad.	Maybe the president of the government told the truth.	The president of the government told the truth.	PR-
SAI13	Quizás el director español desconociera el historial del actor.	El director español desconocía el historial del actor.	Maybe the Spanish director didn't know the actor's history.	The Spanish director didn't know the actor's history.	Uu
SAI16	Seguramente el alcalde de Madrid tuviera las llaves de la ciudad.	El alcalde de Madrid tenía las llaves de la ciudad.	Surely Madrid's mayor had the keys to the city.	Madrid's mayor had the keys to the city.	PR+
SAI21	Probablemente la madre de Ronaldinho tuviera la solución.	La madre de Ronaldinho tenía la solución.	Probably Ronaldinho's mother had the solution.	Ronaldinho's mother had the solution.	PR+
SAI22	Quizás Alejandro Amenábar desconociera el historial del actor.	Alejandro Amenábar desconocía el historial del actor.	Maybe Alejandro Amenábar didn't know the actor's history.	Alejandro Amenábar didn't know the actor's history.	Uu
SAI24	Probablemente la mujer de Xabi Alonso sospechara de su marido.	La mujer de Xabi Alonso sospechaba de su marido.	Probably Xabi Alonso's wive suspected her husband.	Xabi Alonso's wive suspected her husband.	PR+
SNC1	El gobierno no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.	The government didn't say that the country had economic problems.	The country had economic problems.	Uu
SNC3	El periódico no sabía que la noticia fuera falsa.	La noticia era falsa.	The newspaper didn't know that the news was fake.	The news was fake.	CT+
SNC6	La universidad no anunció que las clases fueran a ser presenciales.	Las clases iban a ser presenciales.	The university didn't announce that the classes were going to be onsite.	The classes were going to be onsite.	Uu
SNC12	El periódico nacional no sabía que la noticia fuera falsa.	La noticia era falsa.	The national newspaper didn't know that the news was fake.	The news was fake.	PS+
SNC14	La familia real no anunció que hubiera recortado gastos.	La familia real había recortado gastos.	The royal family didn't announce that they had cut down expenses.	The royal family had cut down expenses.	Uu
SNC18	La televisión pública no anunció que la periodista fuera a ser despedida.	La periodista iba a ser despedida.	The public television didn't announce that the journalist was going to be fired.	The journalist was going to be fired.	CT+
SNC19	El gobierno español no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.	The Spanish government didn't say that the country had economic problems.	The country had economic problems.	CT+
SNC21	La Razón no sabía que la noticia fuera falsa.	La noticia era falsa.	La Razón didn't know that the news was fake.	The news was fake.	CT+
SNC22	La junta directiva del Barça no pensó que la reunión con los abogados hubiera ido bien.	La reunión con los abogados había ido bien.	Barça's board of directors didn't think that the meeting with the lawyers had gone well.	The meeting with the lawyers had gone well.	PS-
SNC23	La familia real española no anunció que hubiera recortado gastos.	La familia real española había recortado gastos.	The Spanish Royal family didn't announce that they had cut down expenses.	The Spanish Royal family had cut down expenses.	Uu
SNI1	El hijo no oyó que le estuvieran llamando.	Estaban llamando al hijo.	The son didn't hear that they were calling him.	They were calling him.	Uu
SNI2	El presidente no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.	The president didn't say that the country had economic problems.	The country had economic problems.	CT+
SNI3	El experto no creía que la tendencia hubiera cambiado.	La tendencia había cambiado.	The expert didn't believe that the tendency had changed.	The tendency had changed.	PS-
SNI4	La periodista no sabía que la noticia fuera falsa.	La noticia era falsa.	The journalist didn't know that the news was fake.	The news was fake.	CT+
SNI7	La escritora no intuía que su nueva novela fuera a tener éxito.	La nueva novela de la escritora iba a tener éxito.	The writer didn't sense that her/his new novel was going to be successful.	The new novel was going to be successful.	PR+
